apSDErr,	arSDErr,	ahpSDErr,	ahrSDErr
0.0029771923924758214	0.0032802795487776133	0.004416284691636688	0.005473914749980902	
0.0011225519437650755	0.0012731597199544995	0.0013797401256771449	0.001602045476134289	
5.339279301152549E-4	4.1506710512203426E-4	8.437263007814325E-4	5.775528127037285E-4	
3.952021375696458E-4	1.4509525002200246E-4	4.018111496223031E-4	2.165519264336047E-4	
2.1384907569250349E-4	1.6511558949637936E-4	3.3536186303096197E-4	2.061907366567203E-4	
0.0029166494789313164	0.0030733717697486113	0.0036816663087267726	0.004190074599120979	
0.001262919490462221	0.001201169021222184	0.0019890361091098726	0.0018033107953321311	
5.87819057286816E-4	4.0901155037856806E-4	0.001152233284382268	7.743449725104708E-4	
3.715346707628616E-4	1.5542810150304917E-4	5.835313863638142E-4	4.0386292619884635E-4	
2.7754451822925694E-4	1.5934808710962642E-4	5.266855284134468E-4	3.5927151764621266E-4	
0.0029771923924758214	0.0032802795487776133	0.00306179004788558	0.005834360811766046	
0.0011225519437650755	0.0012731597199544995	0.0013653622656682994	0.0018089769652537627	
5.339279301152549E-4	4.1506710512203426E-4	6.158761997510436E-4	4.1247600201916646E-4	
3.952021375696458E-4	1.4509525002200246E-4	3.857404420126132E-4	4.90917508345343E-4	
2.1384907569250349E-4	1.6511558949637936E-4	4.1614220009302775E-4	2.703906638756432E-4	
0.003723470790023873	0.002967859015267222	0.004089024145152014	0.002802672075044443	
0.001529088004102674	9.63667458597744E-4	0.0023324528048169063	0.0016178825234389308	
0.0011190676824233516	2.2128457153276751E-4	0.001610305121086922	5.140899717222085E-4	
3.6740819634188367E-4	0.0	7.135639615900038E-4	2.875486228906616E-4	
5.927958292121515E-4	6.296754942588875E-5	7.723095971924396E-4	1.2662972683891502E-4	
