Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_116_C	100	0.8188976377952756	0.6933333333333334	0.9384615384615385	0.4066666666666667	183.0	0.7509025270758124	0.5674418604651162
CPC	Graph_100_117_C	100	0.7804878048780488	0.64	0.8333333333333334	0.3333333333333333	214.0	0.7032967032967035	0.47619047619047616
CPC	Graph_100_118_C	100	0.782258064516129	0.6466666666666666	0.9107142857142857	0.34	207.0	0.7080291970802919	0.4951456310679612
CPC	Graph_100_119_C	100	0.8387096774193549	0.6933333333333334	0.9354838709677419	0.38666666666666666	182.0	0.7591240875912408	0.5471698113207547
CPC	Graph_100_120_C	100	0.788135593220339	0.62	0.8823529411764706	0.3	218.0	0.6940298507462687	0.44776119402985076
CPC	Graph_100_1001_C	1000	0.7724137931034483	0.7466666666666667	0.8681318681318682	0.5266666666666666	177.0	0.7593220338983051	0.6556016597510373
CPC	Graph_100_1002_C	1000	0.7857142857142857	0.7333333333333333	0.8831168831168831	0.4533333333333333	184.0	0.7586206896551724	0.5991189427312775
CPC	Graph_100_1003_C	1000	0.7947019867549668	0.8	0.9540229885057471	0.5533333333333333	160.0	0.79734219269103	0.70042194092827
CPC	Graph_100_1004_C	1000	0.8206896551724138	0.7933333333333333	0.9021739130434783	0.5533333333333333	151.0	0.8067796610169492	0.6859504132231404
CPC	Graph_100_1005_C	1000	0.8874172185430463	0.8933333333333333	0.9805825242718447	0.6733333333333333	99.0	0.8903654485049834	0.7984189723320159
CPC	Graph_100_1006_C	1000	0.8322147651006712	0.8266666666666667	0.9468085106382979	0.5933333333333334	137.0	0.8294314381270903	0.7295081967213115
CPC	Graph_100_1007_C	1000	0.7916666666666666	0.76	0.9058823529411765	0.5133333333333333	170.0	0.7755102040816326	0.6553191489361702
CPC	Graph_100_1008_C	1000	0.7876712328767124	0.7666666666666667	0.9204545454545454	0.54	166.0	0.7770270270270271	0.680672268907563
CPC	Graph_100_1009_C	1000	0.7928571428571428	0.74	0.8160919540229885	0.47333333333333333	181.0	0.7655172413793102	0.5991561181434599
