Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_103_C	100	0.05	0.8910891089108911	0.6	1.0	0.23333333333333334	197.0	0.7171314741035857	0.37837837837837834
CPC	Graph_100_103_C	100	0.08	0.8348623853211009	0.6066666666666667	0.918918918918919	0.22666666666666666	213.0	0.7027027027027027	0.36363636363636365
CPC	Graph_100_103_C	100	0.1	0.7931034482758621	0.6133333333333333	0.8809523809523809	0.24666666666666667	222.0	0.6917293233082706	0.3854166666666667
CPC	Graph_100_104_C	100	1.0E-4	0.9830508474576272	0.38666666666666666	1.0	0.08	232.0	0.5550239234449761	0.14814814814814814
CPC	Graph_100_104_C	100	0.001	0.9859154929577465	0.4666666666666667	1.0	0.12	214.0	0.6334841628959276	0.21428571428571425
CPC	Graph_100_104_C	100	0.01	0.9777777777777777	0.5866666666666667	1.0	0.21333333333333335	184.0	0.7333333333333334	0.3516483516483517
CPC	Graph_100_104_C	100	0.03	0.9134615384615384	0.6333333333333333	0.9791666666666666	0.31333333333333335	176.0	0.7480314960629921	0.47474747474747475
CPC	Graph_100_104_C	100	0.05	0.8672566371681416	0.6533333333333333	0.9807692307692307	0.34	181.0	0.7452471482889734	0.504950495049505
CPC	Graph_100_104_C	100	0.08	0.825	0.66	0.9821428571428571	0.36666666666666664	188.0	0.7333333333333334	0.5339805825242718
CPC	Graph_100_104_C	100	0.1	0.816	0.68	0.9491525423728814	0.37333333333333335	190.0	0.7418181818181818	0.5358851674641149
CPC	Graph_100_105_C	100	1.0E-4	0.9838709677419355	0.4066666666666667	0.875	0.04666666666666667	235.0	0.5754716981132075	0.08860759493670886
CPC	Graph_100_105_C	100	0.001	0.9459459459459459	0.4666666666666667	1.0	0.10666666666666667	222.0	0.625	0.1927710843373494
CPC	Graph_100_105_C	100	0.01	0.9518072289156626	0.5266666666666666	0.9629629629629629	0.17333333333333334	204.0	0.6781115879828326	0.2937853107344633
CPC	Graph_100_105_C	100	0.03	0.8979591836734694	0.5866666666666667	0.9761904761904762	0.2733333333333333	192.0	0.7096774193548387	0.4270833333333333
