Algorithm, Sample Size, Alpha/Penalty, 	 AP, 	 AR, 	 AHP, 	 AHR, 	 SHD 	 adj F1 	 ah F1
CPC	100	1.0E-4	0.9858413523155427	0.3886666666666666	0.9691666666666666	0.05166666666666666	235.9	0.5575284639668593	0.09810340136054421
CPC	100	0.001	0.9784834611342219	0.45566666666666666	0.979185606060606	0.096	220.5	0.6217791129122229	0.17485691335886333
CPC	100	0.01	0.9649710863658962	0.5423333333333333	0.9592921188239689	0.18833333333333332	197.25	0.694399855794932	0.314853042059842
CPC	100	0.03	0.9290497486494314	0.5953333333333333	0.9537213504413519	0.2546666666666667	187.5	0.7256631095335324	0.40199180032752624
CPC	100	0.05	0.890015633704491	0.6206666666666666	0.9533709531907857	0.2876666666666666	188.15	0.7313291967700531	0.44197378034795937
CPC	100	0.08	0.8422909403760631	0.6443333333333332	0.939818981631395	0.3153333333333333	194.0	0.7301322046824942	0.472223567888005
CPC	100	0.1	0.8187727214740678	0.6600000000000001	0.917481289342358	0.3396666666666667	196.85	0.7308628139072165	0.4957854161721552
CPC	1000	1.0E-4	0.9542869254110441	0.6976666666666669	0.9545022626260906	0.3903333333333333	147.65	0.8060446509974186	0.5540811842941312
CPC	1000	0.001	0.9521815093646657	0.726	0.9516240666328507	0.43466666666666676	137.75	0.8238486384711234	0.596756872172945
CPC	1000	0.01	0.9371665459934342	0.7556666666666667	0.9399689735424319	0.4926666666666667	129.2	0.8366867032453082	0.646488706504116
CPC	1000	0.03	0.9104408878195394	0.7703333333333334	0.9350508308199246	0.52	130.5	0.8345475020861775	0.6683291356252772
CPC	1000	0.05	0.8869758200450415	0.7823333333333333	0.9285091783602007	0.5396666666666666	133.1	0.8313747618019782	0.682595964171969
CPC	1000	0.08	0.8434313536500355	0.7873333333333333	0.9145751026819721	0.547	145.55	0.8144174624427591	0.6845663698691156
CPC	1000	0.1	0.8228690774904235	0.7929999999999999	0.9116340329252909	0.5546666666666666	151.1	0.8076584762217817	0.6896989279255946
CPC	3000	1.0E-4	0.9599425217777338	0.8030000000000002	0.935152992233197	0.5393333333333333	110.9	0.8744855098397867	0.684115100604931
CPC	3000	0.001	0.9623464774834686	0.8176666666666665	0.9359693221936544	0.5690000000000001	103.75	0.884126770645854	0.7077440536155467
CPC	3000	0.01	0.9565274811133573	0.8349999999999997	0.9293732308374295	0.596	98.85	0.8916418588603455	0.726256937490654
CPC	3000	0.03	0.9332970908831765	0.8386666666666667	0.918247300528448	0.6013333333333334	104.45	0.8834550445918741	0.7267435471954449
CPC	3000	0.05	0.9090500774979727	0.8413333333333334	0.9062910232058933	0.6066666666666667	110.8	0.8738818331294201	0.7268102178383511
CPC	3000	0.08	0.8776338215565301	0.8443333333333332	0.896556875658297	0.609	120.65	0.8606615845100622	0.725317184762171
CPC	3000	0.1	0.8528944451389044	0.8470000000000001	0.8891016147530282	0.6140000000000001	128.25	0.8499370029691722	0.7263758964799681
CPC	5000	1.0E-4	0.9979539238375763	0.9750000000000002	0.9912409804063527	0.6074999999999997	42.45	0.9863434355821679	0.7533163945591775
CPC	5000	0.001	0.9964439290867861	0.9780000000000001	0.9912670017438494	0.6119999999999999	42.0	0.9871358191443907	0.7567740175621226
CPC	5000	0.01	0.9752388820264093	0.9824999999999999	0.9927790985180429	0.6194999999999998	45.05	0.9788559755212766	0.7629282697980033
CPC	5000	0.03	0.9252365704035302	0.9855000000000003	0.9928687435995904	0.6239999999999999	55.4	0.954417949869574	0.7663579353100203
CPC	5000	0.05	0.8585967946699895	0.9875	0.9860237706797228	0.6249999999999999	71.85	0.9185480817523222	0.7650599176631794
CPC	5000	0.08	0.776132843522694	0.9894999999999999	0.9688894947065432	0.6295000000000001	96.1	0.8699242897333821	0.763163095024904
CPC	5000	0.1	0.7248949997995846	0.99	0.955328790646169	0.6315000000000002	114.3	0.8369562566634787	0.7603720512877654
CPC	10000	1.0E-4	0.9809005224668723	0.9163333333333334	0.9657363207827043	0.7183333333333334	61.5	0.9475182436499086	0.8238621113246539
CPC	10000	0.001	0.98020226912677	0.9193333333333336	0.962992008632955	0.724	60.75	0.9487925556648128	0.826567299290572
CPC	10000	0.01	0.9727919330422721	0.925	0.9631646336285125	0.732	60.65	0.948294196426072	0.8318206949692375
CPC	10000	0.03	0.9533696518676612	0.9289999999999997	0.9599686193483554	0.7356666666666667	65.35	0.9410270779772689	0.83298209246437
CPC	10000	0.05	0.9334770992050441	0.931	0.955262087035911	0.7366666666666668	71.35	0.9322369040954589	0.8318432273342549
CPC	10000	0.08	0.9074383103604987	0.9333333333333332	0.9541634378507158	0.74	79.2	0.9202036829550385	0.8335452509886443
CPC	10000	0.1	0.8815987620708284	0.9343333333333332	0.9472504250498985	0.7416666666666667	88.1	0.907200343132709	0.8319461845593574
PCMax	100	1.0E-4	0.9709173958949142	0.39699999999999996	0.8821022656580941	0.12066666666666667	227.75	0.5635635709100847	0.21229285556207178
PCMax	100	0.001	0.9711057102102376	0.46366666666666667	0.85693870180187	0.18733333333333338	210.3	0.6276526575096971	0.30745472074256824
PCMax	100	0.01	0.9479068116153162	0.5483333333333333	0.8333609434286997	0.30066666666666664	188.05	0.6947666836198099	0.44190080516615365
PCMax	100	0.03	0.9090208398784002	0.6013333333333334	0.7634533306704853	0.3533333333333334	185.25	0.7238362251830777	0.4830887023724628
PCMax	100	0.05	0.8656726442480718	0.6273333333333334	0.7076276010874805	0.38933333333333336	190.1	0.7274790773059895	0.5023023227997128
