apSDErr,	arSDErr,	ahpSDErr,	ahrSDErr
0.0055297033183847434	0.0043689494501820015	0.008044291133423058	0.00400934580713233	
9.333007880132888E-4	0.0015084944665313014	0.0016976456395765057	0.002351458425136664	
6.491639070375979E-4	6.858071040865604E-4	6.552860347928815E-4	0.001033625689636632	
8.827805291971395E-4	2.5792695824491415E-4	4.2408916149827124E-4	4.8100771413006626E-4	
2.617147496427095E-4	3.543546972483761E-4	5.108327528898022E-4	5.915585520198625E-4	
0.004720552393777332	0.004114728928136917	0.008687498036057749	0.005665118467557584	
0.0014106242930158543	0.001499161559044575	0.002187374015382083	0.002538959587995383	
8.984323872208333E-4	6.970838729492497E-4	0.0012286976879211148	0.0011748501625668826	
8.804444337923014E-4	2.5792695824491415E-4	0.0011452812422748212	0.0010114086060643605	
4.006605039339413E-4	3.574438163842605E-4	6.927589934561004E-4	7.032422822913444E-4	
0.005490907058639089	0.0043689494501820015	0.006281283243525601	0.0058499762582614155	
8.991762299375451E-4	0.0015126754888286262	0.001453597931815436	0.0018090092923705623	
6.307624620943993E-4	6.769960020152551E-4	0.0010503411859044511	9.681879539789881E-4	
8.827805291971395E-4	2.5792695824491415E-4	0.0013667435435305287	5.182968058433008E-4	
2.4357320587960318E-4	3.543546972483761E-4	4.314665737141327E-4	5.575216671634611E-4	
0.00518322203509535	0.0047678258926569525	0.008005535832989887	0.006140270676167964	
0.0022454038215532412	0.001007805792114672	0.0030724004705317914	0.0017966831037883658	
0.0018507301339660933	3.9073080925637843E-4	0.002638948084647849	9.797163133177362E-4	
5.862351653103283E-4	6.324555320336764E-5	9.818722715603952E-4	4.252553412517681E-4	
9.861390612112032E-4	1.4412470233988827E-4	0.0013328799385256046	4.903274952840999E-4	
