Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_50_101_C	100	0.76	0.5066666666666667	0.8461538461538461	0.14666666666666667	126.0	0.6080000000000001	0.25000000000000006
CPC	Graph_50_102_C	100	0.7692307692307693	0.5333333333333333	0.9166666666666666	0.14666666666666667	124.0	0.6299212598425197	0.25287356321839083
CPC	Graph_50_103_C	100	0.8518518518518519	0.6133333333333333	0.9090909090909091	0.13333333333333333	110.0	0.7131782945736435	0.2325581395348837
CPC	Graph_50_104_C	100	0.8076923076923077	0.56	0.7058823529411765	0.16	117.0	0.6614173228346457	0.2608695652173913
CPC	Graph_50_105_C	100	0.7758620689655172	0.6	0.9444444444444444	0.22666666666666666	114.0	0.6766917293233082	0.3655913978494624
CPC	Graph_50_106_C	100	0.8936170212765957	0.56	1.0	0.18666666666666668	104.0	0.6885245901639345	0.3146067415730337
CPC	Graph_50_107_C	100	0.8958333333333334	0.5733333333333334	0.8333333333333334	0.13333333333333333	109.0	0.6991869918699187	0.2298850574712644
CPC	Graph_50_108_C	100	0.75	0.52	0.875	0.18666666666666668	124.0	0.6141732283464567	0.30769230769230765
CPC	Graph_50_109_C	100	0.9	0.6	0.7058823529411765	0.16	106.0	0.7200000000000001	0.2608695652173913
CPC	Graph_50_110_C	100	0.734375	0.6266666666666667	0.9285714285714286	0.17333333333333334	124.0	0.6762589928057554	0.29213483146067415
CPC	Graph_50_111_C	100	0.7719298245614035	0.5866666666666667	0.7368421052631579	0.18666666666666668	118.0	0.6666666666666666	0.2978723404255319
CPC	Graph_50_112_C	100	0.7678571428571429	0.5733333333333334	0.8571428571428571	0.16	123.0	0.6564885496183206	0.2696629213483146
CPC	Graph_50_113_C	100	0.7659574468085106	0.48	0.8333333333333334	0.13333333333333333	127.0	0.5901639344262295	0.2298850574712644
CPC	Graph_50_114_C	100	0.7457627118644068	0.5866666666666667	0.8333333333333334	0.2	122.0	0.6567164179104478	0.3225806451612903
CPC	Graph_50_115_C	100	0.9056603773584906	0.64	0.8	0.21333333333333335	98.0	0.7500000000000001	0.3368421052631579
CPC	Graph_50_116_C	100	0.82	0.5466666666666666	0.8095238095238095	0.22666666666666666	111.0	0.6559999999999999	0.3541666666666667
CPC	Graph_50_117_C	100	0.803921568627451	0.5466666666666666	0.75	0.24	116.0	0.6507936507936508	0.36363636363636365
CPC	Graph_50_118_C	100	0.8214285714285714	0.6133333333333333	0.8333333333333334	0.2	110.0	0.7022900763358778	0.3225806451612903
CPC	Graph_50_119_C	100	0.7868852459016393	0.64	0.7777777777777778	0.28	110.0	0.7058823529411764	0.4117647058823529
CPC	Graph_50_120_C	100	0.7924528301886793	0.56	0.7619047619047619	0.21333333333333335	117.0	0.65625	0.3333333333333333
CPC	Graph_50_1001_C	1000	0.9014084507042254	0.8533333333333334	0.9183673469387755	0.6	55.0	0.8767123287671234	0.7258064516129031
CPC	Graph_50_1002_C	1000	0.875	0.7466666666666667	0.8717948717948718	0.4533333333333333	76.0	0.8057553956834532	0.5964912280701754
CPC	Graph_50_1003_C	1000	0.8857142857142857	0.8266666666666667	0.8775510204081632	0.5733333333333334	62.0	0.8551724137931035	0.6935483870967741
CPC	Graph_50_1004_C	1000	0.8769230769230769	0.76	0.8837209302325582	0.5066666666666667	73.0	0.8142857142857143	0.6440677966101697
CPC	Graph_50_1005_C	1000	0.8333333333333334	0.7333333333333333	0.8571428571428571	0.4	88.0	0.7801418439716311	0.5454545454545455
CPC	Graph_50_1006_C	1000	0.8524590163934426	0.6933333333333334	0.7428571428571429	0.3466666666666667	93.0	0.7647058823529411	0.4727272727272728
CPC	Graph_50_1007_C	1000	0.8857142857142857	0.8266666666666667	0.84	0.56	67.0	0.8551724137931035	0.6720000000000002
CPC	Graph_50_1008_C	1000	0.9032258064516129	0.7466666666666667	0.8888888888888888	0.4266666666666667	76.0	0.8175182481751825	0.5765765765765766
CPC	Graph_50_1009_C	1000	0.9393939393939394	0.8266666666666667	0.9285714285714286	0.52	58.0	0.8794326241134751	0.6666666666666666
CPC	Graph_50_1010_C	1000	0.9375	0.8	0.8918918918918919	0.44	67.0	0.8633093525179856	0.5892857142857143
CPC	Graph_50_1011_C	1000	0.8769230769230769	0.76	0.8780487804878049	0.48	75.0	0.8142857142857143	0.6206896551724138
CPC	Graph_50_1012_C	1000	0.9130434782608695	0.84	0.9375	0.6	55.0	0.8749999999999999	0.7317073170731707
CPC	Graph_50_1013_C	1000	0.9117647058823529	0.8266666666666667	0.8823529411764706	0.6	59.0	0.8671328671328671	0.7142857142857143
CPC	Graph_50_1014_C	1000	0.8382352941176471	0.76	0.8181818181818182	0.48	82.0	0.7972027972027973	0.6050420168067226
CPC	Graph_50_1015_C	1000	0.9	0.84	0.8431372549019608	0.5733333333333334	64.0	0.8689655172413793	0.6825396825396826
CPC	Graph_50_1016_C	1000	0.8732394366197183	0.8266666666666667	0.8235294117647058	0.56	69.0	0.8493150684931506	0.6666666666666666
CPC	Graph_50_1017_C	1000	0.921875	0.7866666666666666	0.8636363636363636	0.5066666666666667	66.0	0.8489208633093526	0.638655462184874
CPC	Graph_50_1018_C	1000	0.8656716417910447	0.7733333333333333	0.7916666666666666	0.5066666666666667	77.0	0.8169014084507041	0.6178861788617886
CPC	Graph_50_1019_C	1000	0.8833333333333333	0.7066666666666667	0.9117647058823529	0.41333333333333333	81.0	0.7851851851851853	0.5688073394495412
CPC	Graph_50_1020_C	1000	0.8615384615384616	0.7466666666666667	0.75	0.44	85.0	0.8	0.5546218487394958
CPC	Graph_50_3001_C	3000	0.9230769230769231	0.8	0.8837209302325582	0.5066666666666667	64.0	0.8571428571428571	0.6440677966101697
CPC	Graph_50_3002_C	3000	0.9545454545454546	0.84	0.9166666666666666	0.5866666666666667	51.0	0.8936170212765958	0.7154471544715447
CPC	Graph_50_3003_C	3000	0.8939393939393939	0.7866666666666666	0.95	0.5066666666666667	67.0	0.8368794326241135	0.6608695652173914
CPC	Graph_50_3004_C	3000	0.9384615384615385	0.8133333333333334	0.9555555555555556	0.5733333333333334	56.0	0.8714285714285714	0.7166666666666667
CPC	Graph_50_3005_C	3000	0.8888888888888888	0.8533333333333334	0.9	0.6	58.0	0.8707482993197277	0.7200000000000001
CPC	Graph_50_3006_C	3000	0.9264705882352942	0.84	0.9555555555555556	0.5733333333333334	55.0	0.881118881118881	0.7166666666666667
CPC	Graph_50_3007_C	3000	0.9264705882352942	0.84	0.9	0.6	53.0	0.881118881118881	0.7200000000000001
CPC	Graph_50_3008_C	3000	0.9078947368421053	0.92	0.9285714285714286	0.6933333333333334	44.0	0.913907284768212	0.7938931297709924
CPC	Graph_50_3009_C	3000	0.9242424242424242	0.8133333333333334	0.9512195121951219	0.52	60.0	0.8652482269503545	0.6724137931034483
CPC	Graph_50_3010_C	3000	0.9315068493150684	0.9066666666666666	0.9444444444444444	0.68	42.0	0.918918918918919	0.7906976744186047
CPC	Graph_50_3011_C	3000	0.8591549295774648	0.8133333333333334	0.8367346938775511	0.5466666666666666	69.0	0.8356164383561644	0.6612903225806451
CPC	Graph_50_3012_C	3000	0.8395061728395061	0.9066666666666666	0.8793103448275862	0.68	58.0	0.8717948717948718	0.7669172932330827
CPC	Graph_50_3013_C	3000	0.9014084507042254	0.8533333333333334	0.9777777777777777	0.5866666666666667	56.0	0.8767123287671234	0.7333333333333334
CPC	Graph_50_3014_C	3000	0.9154929577464789	0.8666666666666667	0.9791666666666666	0.6266666666666667	50.0	0.8904109589041095	0.7642276422764227
CPC	Graph_50_3015_C	3000	0.9117647058823529	0.8266666666666667	0.9534883720930233	0.5466666666666666	59.0	0.8671328671328671	0.6949152542372881
CPC	Graph_50_3016_C	3000	0.8904109589041096	0.8666666666666667	0.9411764705882353	0.64	53.0	0.8783783783783784	0.7619047619047621
CPC	Graph_50_3017_C	3000	0.9393939393939394	0.8266666666666667	0.9375	0.6	52.0	0.8794326241134751	0.7317073170731707
CPC	Graph_50_3018_C	3000	0.9552238805970149	0.8533333333333334	0.9387755102040817	0.6133333333333333	46.0	0.9014084507042254	0.7419354838709676
