Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_50_101_C	100	1.0E-4	0.8928571428571429	0.3333333333333333	1.0	0.05333333333333334	127.0	0.48543689320388345	0.10126582278481014
CPC	Graph_50_101_C	100	0.001	0.9333333333333333	0.37333333333333335	1.0	0.08	120.0	0.5333333333333333	0.14814814814814814
CPC	Graph_50_101_C	100	0.01	0.8648648648648649	0.4266666666666667	1.0	0.08	122.0	0.5714285714285715	0.14814814814814814
CPC	Graph_50_101_C	100	0.03	0.8095238095238095	0.4533333333333333	0.8571428571428571	0.08	126.0	0.5811965811965811	0.14634146341463417
CPC	Graph_50_101_C	100	0.05	0.7906976744186046	0.4533333333333333	0.8571428571428571	0.08	128.0	0.576271186440678	0.14634146341463417
CPC	Graph_50_101_C	100	0.08	0.782608695652174	0.48	0.9	0.12	126.0	0.5950413223140497	0.21176470588235294
CPC	Graph_50_101_C	100	0.1	0.76	0.5066666666666667	0.8461538461538461	0.14666666666666667	126.0	0.6080000000000001	0.25000000000000006
CPC	Graph_50_102_C	100	1.0E-4	0.9354838709677419	0.38666666666666666	1.0	0.02666666666666667	123.0	0.5471698113207547	0.05194805194805195
CPC	Graph_50_102_C	100	0.001	0.967741935483871	0.4	1.0	0.05333333333333334	118.0	0.5660377358490567	0.10126582278481014
CPC	Graph_50_102_C	100	0.01	0.9210526315789473	0.4666666666666667	1.0	0.10666666666666667	113.0	0.6194690265486725	0.1927710843373494
CPC	Graph_50_102_C	100	0.03	0.8837209302325582	0.5066666666666667	1.0	0.13333333333333333	112.0	0.6440677966101697	0.23529411764705882
CPC	Graph_50_102_C	100	0.05	0.9047619047619048	0.5066666666666667	0.9166666666666666	0.14666666666666667	110.0	0.6495726495726496	0.25287356321839083
CPC	Graph_50_102_C	100	0.08	0.8333333333333334	0.5333333333333333	0.9166666666666666	0.14666666666666667	116.0	0.6504065040650406	0.25287356321839083
CPC	Graph_50_102_C	100	0.1	0.7692307692307693	0.5333333333333333	0.9166666666666666	0.14666666666666667	124.0	0.6299212598425197	0.25287356321839083
CPC	Graph_50_103_C	100	1.0E-4	0.96875	0.41333333333333333	0.75	0.04	119.0	0.5794392523364486	0.07594936708860758
CPC	Graph_50_103_C	100	0.001	0.9473684210526315	0.48	0.875	0.09333333333333334	112.0	0.6371681415929203	0.1686746987951807
CPC	Graph_50_103_C	100	0.01	0.9523809523809523	0.5333333333333333	0.875	0.09333333333333334	108.0	0.6837606837606837	0.1686746987951807
CPC	Graph_50_103_C	100	0.03	0.9333333333333333	0.56	0.9	0.12	106.0	0.7000000000000001	0.21176470588235294
CPC	Graph_50_103_C	100	0.05	0.9166666666666666	0.5866666666666667	0.9285714285714286	0.17333333333333334	102.0	0.7154471544715447	0.29213483146067415
CPC	Graph_50_103_C	100	0.08	0.8979591836734694	0.5866666666666667	0.9	0.12	107.0	0.7096774193548387	0.21176470588235294
CPC	Graph_50_103_C	100	0.1	0.8518518518518519	0.6133333333333333	0.9090909090909091	0.13333333333333333	110.0	0.7131782945736435	0.2325581395348837
CPC	Graph_50_104_C	100	1.0E-4	0.9666666666666667	0.38666666666666666	1.0	0.02666666666666667	121.0	0.5523809523809524	0.05194805194805195
CPC	Graph_50_104_C	100	0.001	0.9722222222222222	0.4666666666666667	1.0	0.05333333333333334	113.0	0.6306306306306306	0.10126582278481014
CPC	Graph_50_104_C	100	0.01	0.9285714285714286	0.52	0.875	0.09333333333333334	110.0	0.6666666666666666	0.1686746987951807
CPC	Graph_50_104_C	100	0.03	0.9130434782608695	0.56	0.6875	0.14666666666666667	108.0	0.6942148760330579	0.24175824175824173
CPC	Graph_50_104_C	100	0.05	0.8958333333333334	0.5733333333333334	0.7222222222222222	0.17333333333333334	106.0	0.6991869918699187	0.27956989247311825
CPC	Graph_50_104_C	100	0.08	0.8235294117647058	0.56	0.7142857142857143	0.2	112.0	0.6666666666666666	0.3125
CPC	Graph_50_104_C	100	0.1	0.8076923076923077	0.56	0.7058823529411765	0.16	117.0	0.6614173228346457	0.2608695652173913
CPC	Graph_50_105_C	100	1.0E-4	0.9642857142857143	0.36	0.6666666666666666	0.05333333333333334	122.0	0.5242718446601942	0.09876543209876544
CPC	Graph_50_105_C	100	0.001	0.9411764705882353	0.4266666666666667	0.875	0.09333333333333334	115.0	0.5871559633027523	0.1686746987951807
CPC	Graph_50_105_C	100	0.01	0.925	0.49333333333333335	1.0	0.18666666666666668	105.0	0.6434782608695652	0.3146067415730337
CPC	Graph_50_105_C	100	0.03	0.875	0.56	0.9375	0.2	105.0	0.6829268292682927	0.32967032967032966
CPC	Graph_50_105_C	100	0.05	0.84	0.56	0.9285714285714286	0.17333333333333334	111.0	0.6720000000000002	0.29213483146067415
CPC	Graph_50_105_C	100	0.08	0.8148148148148148	0.5866666666666667	0.8888888888888888	0.21333333333333335	110.0	0.6821705426356589	0.3440860215053763
CPC	Graph_50_105_C	100	0.1	0.7758620689655172	0.6	0.9444444444444444	0.22666666666666666	114.0	0.6766917293233082	0.3655913978494624
CPC	Graph_50_106_C	100	1.0E-4	0.9310344827586207	0.36	1.0	0.02666666666666667	125.0	0.5192307692307692	0.05194805194805195
CPC	Graph_50_106_C	100	0.001	0.9375	0.4	1.0	0.05333333333333334	120.0	0.5607476635514019	0.10126582278481014
CPC	Graph_50_106_C	100	0.01	0.972972972972973	0.48	1.0	0.13333333333333333	106.0	0.6428571428571428	0.23529411764705882
CPC	Graph_50_106_C	100	0.03	0.9512195121951219	0.52	1.0	0.13333333333333333	105.0	0.6724137931034483	0.23529411764705882
CPC	Graph_50_106_C	100	0.05	0.8888888888888888	0.5333333333333333	1.0	0.16	108.0	0.6666666666666667	0.2758620689655173
CPC	Graph_50_106_C	100	0.08	0.8958333333333334	0.5733333333333334	1.0	0.18666666666666668	103.0	0.6991869918699187	0.3146067415730337
CPC	Graph_50_106_C	100	0.1	0.8936170212765957	0.56	1.0	0.18666666666666668	104.0	0.6885245901639345	0.3146067415730337
CPC	Graph_50_107_C	100	1.0E-4	0.9259259259259259	0.3333333333333333	NaN	0.0	129.0	0.49019607843137253	NaN
CPC	Graph_50_107_C	100	0.001	0.9	0.36	NaN	0.0	129.0	0.5142857142857143	NaN
CPC	Graph_50_107_C	100	0.01	0.8780487804878049	0.48	1.0	0.08	118.0	0.6206896551724138	0.14814814814814814
CPC	Graph_50_107_C	100	0.03	0.9318181818181818	0.5466666666666666	0.75	0.08	111.0	0.6890756302521007	0.14457831325301204
