GraphID, DataSetID, Algorithm, Elapsed Time
Graph_1013, DataSet_100_1013, CPC Stable, 0.074781543 s
Graph_1014, DataSet_100_1014, CPC Stable, 0.070664076 s
Graph_1015, DataSet_100_1015, CPC Stable, 0.077675059 s
Graph_1016, DataSet_100_1016, CPC Stable, 0.065837984 s
Graph_1017, DataSet_100_1017, CPC Stable, 0.062039977 s
Graph_1018, DataSet_100_1018, CPC Stable, 0.065447535 s
Graph_1019, DataSet_100_1019, CPC Stable, 0.06376129 s
Graph_1020, DataSet_100_1020, CPC Stable, 0.077129799 s
Graph_1001, DataSet_100_1001, PC Max, 0.036889131 s
Graph_1001, DataSet_100_1001, PC Stable, 0.05849899 s
Graph_1002, DataSet_100_1002, PC Max, 0.051510671 s
Graph_1002, DataSet_100_1002, PC Stable, 0.049034118 s
Graph_1003, DataSet_100_1003, PC Max, 0.048605608 s
Graph_1003, DataSet_100_1003, PC Stable, 0.059054086 s
Graph_1004, DataSet_100_1004, PC Max, 0.042022707 s
Graph_1004, DataSet_100_1004, PC Stable, 0.062150312 s
Graph_1005, DataSet_100_1005, PC Max, 0.053849519 s
Graph_1005, DataSet_100_1005, PC Stable, 0.064164569 s
Graph_1006, DataSet_100_1006, PC Max, 0.051120222 s
Graph_1006, DataSet_100_1006, PC Stable, 0.069278045 s
Graph_1007, DataSet_100_1007, PC Max, 0.037639667 s
Graph_1007, DataSet_100_1007, PC Stable, 0.044403466 s
Graph_1008, DataSet_100_1008, PC Max, 0.030981927 s
Graph_1008, DataSet_100_1008, PC Stable, 0.045422141 s
Graph_1009, DataSet_100_1009, PC Max, 0.037669175 s
Graph_1009, DataSet_100_1009, PC Stable, 0.054605614 s
Graph_1010, DataSet_100_1010, PC Max, 0.042712944 s
Graph_1010, DataSet_100_1010, PC Stable, 0.052435691 s
Graph_1011, DataSet_100_1011, PC Max, 0.049373677 s
Graph_1011, DataSet_100_1011, PC Stable, 0.058855226 s
Graph_1012, DataSet_100_1012, PC Max, 0.03874986 s
Graph_1012, DataSet_100_1012, PC Stable, 0.060989226 s
Graph_1013, DataSet_100_1013, PC Max, 0.05454061 s
Graph_1013, DataSet_100_1013, PC Stable, 0.056816592 s
Graph_1014, DataSet_100_1014, PC Max, 0.045159988 s
Graph_1014, DataSet_100_1014, PC Stable, 0.06045979 s
Graph_1015, DataSet_100_1015, PC Max, 0.062113961 s
Graph_1015, DataSet_100_1015, PC Stable, 0.062606192 s
Graph_1016, DataSet_100_1016, PC Max, 0.05188487 s
Graph_1016, DataSet_100_1016, PC Stable, 0.056555722 s
Graph_1017, DataSet_100_1017, PC Max, 0.051292995 s
Graph_1017, DataSet_100_1017, PC Stable, 0.05274403 s
Graph_1018, DataSet_100_1018, PC Max, 0.051475603 s
Graph_1018, DataSet_100_1018, PC Stable, 0.053879027 s
Graph_1019, DataSet_100_1019, PC Max, 0.046469469 s
Graph_1019, DataSet_100_1019, PC Stable, 0.050583086 s
Graph_1020, DataSet_100_1020, PC Max, 0.043963836 s
Graph_1020, DataSet_100_1020, PC Stable, 0.072119387 s
Graph_1001, DataSet_100_1001, FGES, 0.074272205 s
Graph_1002, DataSet_100_1002, FGES, 0.069272058 s
Graph_1003, DataSet_100_1003, FGES, 0.059918806 s
Graph_1004, DataSet_100_1004, FGES, 0.087633872 s
Graph_1005, DataSet_100_1005, FGES, 0.034867604 s
Graph_1006, DataSet_100_1006, FGES, 0.05173348 s
Graph_1007, DataSet_100_1007, FGES, 0.03931351 s
Graph_1008, DataSet_100_1008, FGES, 0.046092277 s
Graph_1009, DataSet_100_1009, FGES, 0.062849528 s
Graph_1010, DataSet_100_1010, FGES, 0.049140605 s
Graph_1011, DataSet_100_1011, FGES, 0.049508389 s
